ride_id,number_of_ticket
4446,0.0
13962,0.0
5569,0.0
1675,0.0
5711,0.0
2417,8.577142857142857
15010,12.194285714285714
1823,9.108571428571429
15191,8.141428571428571
14402,1.9442857142857144
5742,8.691428571428572
14023,4.634285714285714
5503,1.3185714285714285
14114,19.767142857142858
14147,17.32
3731,8.54
14882,4.122857142857143
14405,1.9785714285714286
14024,6.59
15069,18.447142857142858
3452,9.017142857142858
14847,7.3742857142857146
14150,12.194285714285714
5273,9.288571428571428
5682,3.2585714285714285
14664,1.052857142857143
15007,30.425714285714285
15055,2.6985714285714284
14599,2.5214285714285714
640,9.135714285714286
15299,19.46
15338,4.984285714285714
1670,9.07
3555,1.83
780,9.282857142857143
14327,1.04
765,9.288571428571428
14647,2.8014285714285716
14648,31.334285714285713
15114,2.5542857142857143
13979,1.7785714285714285
14374,1.282857142857143
14080,3.0171428571428573
14268,1.5914285714285714
14148,30.097142857142856
292,8.57
5660,9.808571428571428
4697,9.765714285714285
3513,9.587142857142856
14561,2.0228571428571427
14362,1.0114285714285713
4617,9.822857142857142
1252,2.3042857142857143
3442,4.72
14591,13.5
14302,33.64142857142857
1687,9.492857142857142
5457,3.987142857142857
13966,6.491428571428571
14602,17.41
13855,5.725714285714286
14605,1.9328571428571428
14552,20.064285714285713
1695,9.555714285714286
496,8.721428571428572
15274,20.064285714285713
5007,8.5
5600,1.7114285714285715
14902,2.2285714285714286
1633,8.78
14904,1.4528571428571428
13862,6.617142857142857
464,4.637142857142857
5666,9.771428571428572
15231,39.87714285714286
5671,9.627142857142857
2615,9.147142857142857
606,9.398571428571428
14679,4.984285714285714
3535,9.68142857142857
5692,9.347142857142858
3717,8.627142857142857
14443,8.331428571428571
545,8.795714285714286
5251,9.222857142857142
4162,9.668571428571429
14515,21.38
14590,4.787142857142857
3433,4.622857142857143
15259,4.71
14980,13.444285714285714
14164,10.945714285714285
14881,2.3485714285714288
2565,9.101428571428572
15176,2.317142857142857
14671,1.8942857142857144
14831,5.462857142857143
5089,8.714285714285714
14546,6.277142857142858
1531,8.278571428571428
470,4.43
13858,1.207142857142857
14105,1.9657142857142857
14170,2.0342857142857143
5748,4.654285714285714
15201,5.777142857142858
5430,9.508571428571429
14594,24.895714285714284
15001,2.2942857142857145
15070,6.508571428571429
5174,8.095714285714285
14055,2.722857142857143
988,9.637142857142857
3417,3.9657142857142857
4338,9.444285714285714
14161,1.7557142857142858
5286,9.23
13994,9.26142857142857
5295,9.21
13856,19.46
2651,9.874285714285714
13842,27.111428571428572
5423,9.505714285714285
14344,5.054285714285714
15110,23.5
14708,1.2342857142857142
1993,9.762857142857143
14609,6.378571428571429
5661,9.777142857142858
13892,14.28
14128,6.59
14979,1.06
14015,1.93
14607,7.617142857142857
14252,6.508571428571429
14043,28.702857142857145
15199,1.5642857142857143
1627,5.064285714285714
15298,2.1142857142857143
2004,3.5785714285714287
13961,1.9285714285714286
14985,6.59
5545,9.757142857142858
2543,9.064285714285715
14108,1.2671428571428571
2170,9.602857142857143
15004,33.71
